PoissonDataset,Dataset,Area,FeatureMethod,K,Accuracy,StdDev,Status
dataset_rgb_poisson_60,small,sunset,advanced_stats,20,,,FAILED
dataset_rgb_poisson_60,small,sunset,hybrid,2,,,FAILED
dataset_rgb_poisson_60,small,sunset,hybrid,5,,,FAILED
dataset_rgb_poisson_60,small,sunset,hybrid,10,,,FAILED
dataset_rgb_poisson_60,small,sunset,hybrid,20,,,FAILED
dataset_rgb_poisson_60,original,assatigue,wst,2,,,FAILED
dataset_rgb_poisson_60,original,assatigue,wst,5,,,FAILED
dataset_rgb_poisson_60,original,assatigue,wst,10,,,FAILED
dataset_rgb_poisson_60,original,assatigue,wst,20,,,FAILED
dataset_rgb_poisson_60,original,assatigue,advanced_stats,2,,,FAILED
dataset_rgb_poisson_60,original,assatigue,advanced_stats,5,,,FAILED
dataset_rgb_poisson_60,original,assatigue,advanced_stats,10,,,FAILED
dataset_rgb_poisson_60,original,assatigue,advanced_stats,20,,,FAILED
dataset_rgb_poisson_60,original,assatigue,hybrid,2,,,FAILED
dataset_rgb_poisson_60,original,assatigue,hybrid,5,,,FAILED
dataset_rgb_poisson_60,original,assatigue,hybrid,10,,,FAILED
dataset_rgb_poisson_60,original,assatigue,hybrid,20,,,FAILED
dataset_rgb_poisson_60,original,popolar,wst,2,,,FAILED
dataset_rgb_poisson_60,original,popolar,wst,5,,,FAILED
dataset_rgb_poisson_60,original,popolar,wst,10,,,FAILED
dataset_rgb_poisson_60,original,popolar,wst,20,,,FAILED
dataset_rgb_poisson_60,original,popolar,advanced_stats,2,,,FAILED
dataset_rgb_poisson_60,original,popolar,advanced_stats,5,,,FAILED
dataset_rgb_poisson_60,original,popolar,advanced_stats,10,,,FAILED
dataset_rgb_poisson_60,original,popolar,advanced_stats,20,,,FAILED
dataset_rgb_poisson_60,original,popolar,hybrid,2,,,FAILED
dataset_rgb_poisson_60,original,popolar,hybrid,5,,,FAILED
dataset_rgb_poisson_60,original,popolar,hybrid,10,,,FAILED
dataset_rgb_poisson_60,original,popolar,hybrid,20,,,FAILED
dataset_rgb_poisson_60,original,sunset,wst,2,,,FAILED
dataset_rgb_poisson_60,original,sunset,wst,5,,,FAILED
dataset_rgb_poisson_60,original,sunset,wst,10,,,FAILED
dataset_rgb_poisson_60,original,sunset,wst,20,,,FAILED
dataset_rgb_poisson_60,original,sunset,advanced_stats,2,,,FAILED
dataset_rgb_poisson_60,original,sunset,advanced_stats,5,,,FAILED
dataset_rgb_poisson_60,original,sunset,advanced_stats,10,,,FAILED
dataset_rgb_poisson_60,original,sunset,advanced_stats,20,,,FAILED
dataset_rgb_poisson_60,original,sunset,hybrid,2,,,FAILED
dataset_rgb_poisson_60,original,sunset,hybrid,5,,,FAILED
dataset_rgb_poisson_60,original,sunset,hybrid,10,,,FAILED
dataset_rgb_poisson_60,original,sunset,hybrid,20,,,FAILED
dataset_rgb_poisson_60,augmented,assatigue,wst,2,,,FAILED
dataset_rgb_poisson_60,augmented,assatigue,wst,5,,,FAILED
dataset_rgb_poisson_60,augmented,assatigue,wst,10,,,FAILED
dataset_rgb_poisson_60,augmented,assatigue,wst,20,,,FAILED
dataset_rgb_poisson_60,augmented,assatigue,advanced_stats,2,,,FAILED
dataset_rgb_poisson_60,augmented,assatigue,advanced_stats,5,,,FAILED
dataset_rgb_poisson_60,augmented,assatigue,advanced_stats,10,,,FAILED
dataset_rgb_poisson_60,augmented,assatigue,advanced_stats,20,,,FAILED
dataset_rgb_poisson_60,augmented,assatigue,hybrid,2,,,FAILED
dataset_rgb_poisson_60,augmented,assatigue,hybrid,5,,,FAILED
dataset_rgb_poisson_60,augmented,assatigue,hybrid,10,,,FAILED
dataset_rgb_poisson_60,augmented,assatigue,hybrid,20,,,FAILED
dataset_rgb_poisson_60,augmented,popolar,wst,2,,,FAILED
dataset_rgb_poisson_60,augmented,popolar,wst,5,,,FAILED
dataset_rgb_poisson_60,augmented,popolar,wst,10,,,FAILED
dataset_rgb_poisson_60,augmented,popolar,wst,20,,,FAILED
dataset_rgb_poisson_60,augmented,popolar,advanced_stats,2,,,FAILED
dataset_rgb_poisson_60,augmented,popolar,advanced_stats,5,,,FAILED
dataset_rgb_poisson_60,augmented,popolar,advanced_stats,10,,,FAILED
dataset_rgb_poisson_60,augmented,popolar,advanced_stats,20,,,FAILED
dataset_rgb_poisson_60,augmented,popolar,hybrid,2,,,FAILED
dataset_rgb_poisson_60,augmented,popolar,hybrid,5,,,FAILED
dataset_rgb_poisson_60,augmented,popolar,hybrid,10,,,FAILED
dataset_rgb_poisson_60,augmented,popolar,hybrid,20,,,FAILED
dataset_rgb_poisson_60,augmented,sunset,wst,2,,,FAILED
dataset_rgb_poisson_60,augmented,sunset,wst,5,,,FAILED
dataset_rgb_poisson_60,augmented,sunset,wst,10,,,FAILED
dataset_rgb_poisson_60,augmented,sunset,wst,20,,,FAILED
dataset_rgb_poisson_60,augmented,sunset,advanced_stats,2,,,FAILED
dataset_rgb_poisson_60,augmented,sunset,advanced_stats,5,,,FAILED
dataset_rgb_poisson_60,augmented,sunset,advanced_stats,10,,,FAILED
dataset_rgb_poisson_60,augmented,sunset,advanced_stats,20,,,FAILED
dataset_rgb_poisson_60,augmented,sunset,hybrid,2,,,FAILED
dataset_rgb_poisson_60,augmented,sunset,hybrid,5,,,FAILED
dataset_rgb_poisson_60,augmented,sunset,hybrid,10,,,FAILED
dataset_rgb_poisson_60,augmented,sunset,hybrid,20,,,FAILED
