noise_condition,dataset_type,k_features,feature_method,mean_accuracy,std_accuracy,selected_features_str
saltpepper15,original,10,advanced_stats,1.0,0.0,"R_cv, R_p25, R_iqr, G_kurt, G_iqr, B_mean, B_skew, B_cv, B_p25, B_iqr"
saltpepper15,original,10,hybrid,1.0,0.0,"R_p25, R_iqr, G_p25, G_p50, G_iqr, B_cv, B_p25, B_iqr, R_wst_std_0, G_wst_std_0"
saltpepper15,original,10,hybrid,0.983333,0.020412,"R_iqr, R_mad, B_mean, B_var, B_p25, R_wst_std_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_33, B_wst_mean_37"
saltpepper15,original,10,hybrid,1.0,0.0,"R_cv, R_p25, R_iqr, G_kurt, G_iqr, B_mean, B_skew, B_cv, B_p25, B_iqr"
saltpepper15,original,10,wst,0.905072,0.032761,"R_wst_mean_0, R_wst_std_0, G_wst_mean_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_20, B_wst_mean_34, B_wst_mean_40, B_wst_mean_69, B_wst_std_0"
saltpepper15,original,10,wst,0.983333,0.020412,"R_wst_std_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_3, B_wst_mean_4, B_wst_mean_20, B_wst_mean_22, B_wst_mean_33, B_wst_mean_37, B_wst_mean_54"
saltpepper15,original,10,wst,0.975,0.020412,"R_wst_mean_0, R_wst_mean_5, R_wst_std_0, G_wst_mean_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_2, B_wst_mean_46, B_wst_mean_60, B_wst_std_0"
saltpepper15,original,20,advanced_stats,1.0,0.0,"R_mean, R_skew, R_cv, R_p25, R_p50, R_p75, R_iqr, G_mean, G_skew, G_cv, G_p25, G_p50, G_iqr, B_mean, B_skew, B_kurt, B_cv, B_p25, B_p50, B_iqr"
saltpepper15,original,20,advanced_stats,0.983333,0.020412,"R_skew, R_kurt, R_iqr, R_mad, G_std, G_var, G_kurt, G_iqr, G_mad, B_mean, B_std, B_var, B_skew, B_kurt, B_cv, B_p25, B_p50, B_p75, B_iqr, B_mad"
saltpepper15,original,20,advanced_stats,1.0,0.0,"R_mean, R_skew, R_kurt, R_cv, R_p25, R_p50, R_iqr, R_mad, G_skew, G_kurt, G_cv, G_p25, G_iqr, B_mean, B_skew, B_kurt, B_cv, B_p25, B_p50, B_iqr"
